"","Nome d'arte","Nome","Sesso","Attività","Paesi.di.prima.pubblicazione","Mercati","Editori","Insegna.presso"
"1",NA,"Abastanotti, Chiara","F","Autrice unica","IT","GN","BeccoGiallo, MalEdizioni","Scuola internazionale di Comics - Brescia"
"2",NA,"Abrignani, Francesco","M","Chine","IT","P","The Walt Disney Company",NA
"3",NA,"Acampora, Sergio","M","Autore unico","IT","GN","Eretica",NA
"4",NA,"Accardi, Andrea","M","Disegni","IT","P, GN","Bao Publishing, Feltrinelli Editore, Sergio Bonelli Editore",NA
"5",NA,"Accatino, Fabrizio","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"6",NA,"Acciari, Claudio","M","Autore unico","IT","GN","Bao Publishing",NA
"7",NA,"Acciarino, Gianluca","M","Disegni","IT","P","Sergio Bonelli Editore","Scuola italiana di Comix (Napoli)"
"8",NA,"Acunzo, Vincenzo","M","Disegni","IT, FR, USA","P, GN","Dark Horse Comics, DC Comics, Éditions Clair de Lune, Éditions Soleil, Marvel Comics, Sergio Bonelli Editore","Scuola internazionale di Comics - Napoli"
"9",NA,"Adamo, Tino","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"10",NA,"Adragna, Giulia","F","Disegni","FR","GN","Éditions Jungle",NA
"11",NA,"Agrati, Francesca","M","Sceneggiatura","IT","P","The Walt Disney Company",NA
"12",NA,"Aicardi, Davide","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"13",NA,"Airaghi, Lola","F","Disegni","IT","P, GN","BD, Sergio Bonelli Editore",NA
"14",NA,"Albanese, Luca","M","Disegni","IT","GN","BeccoGiallo",NA
"15",NA,"Alberti, Mario","M","Disegni","IT, FR","P, GN","Éditions Delcourt, Éditions Glenat, Éditions Soleil, Les Humanoides Associes, Sergio Bonelli Editore",NA
"16",NA,"Albertini, Eliana","F","Autrice unica","IT","GN","BeccoGiallo, Edizioni Zanetti, MalEdizioni",NA
"17",NA,"Albertini, Giorgio","M","Sceneggiatura, disegni","IT, FR","P, GN","Casterman, Éditions Delcourt, Panini Comics","Scuola internazionale di Comics - Milano"
"1772","Sio","Albrigi, Simone","M","Autore unico","IT","P, GN","Feltrinelli Editore, Shockdom",NA
"19",NA,"Alemanno, Matteo","M","Disegni","FR","GN","Dargaud, Éditions Dupuis, Éditions Glenat","Scuola internazionale di Comics - Padova"
"20",NA,"Alessandrini, Giancarlo","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"21",NA,"Alessi Anghini, Alessandro","M","Sceneggiatura, disegni, colori","IT","GN","Manfont, ReNoir Comics, Tatai Lab",NA
"22",NA,"Alexakis, Alessandra","F","Colori","IT, USA","P, GN","IDW Publishing, Shockdom",NA
"24",NA,"Algeri, Letizia","F","Disegni","IT","P","The Walt Disney Company",NA
"25",NA,"Alghisi, Stefano","M","Autore unico","IT","GN","MalEdizioni","Scuola internazionale di Comics - Brescia"
"26",NA,"Algozzino, Sergio","M","Autore unico, colori","IT","P, GN","BeccoGiallo, Sergio Bonelli Editore, Tunué","Scuola internazionale di Comics - Pescara/Roma, Scuola di fumetto (Associazione scuola di fumetto - varie sedi)"
"27",NA,"Ali, Roberto","M","Disegni","FR","GN","Dargaud, Éditions Delcourt","Scuola del fumetto (Milano)"
"28",NA,"Allegra, Gianni","M","Autore unico","IT","GN","Tunué",NA
"29",NA,"Allegretti, Angela","F","Autrice unica","IT","GN","Hazard Edizioni",NA
"30",NA,"Allo, Deborah","F","Colori","IT","GN","Tunué",NA
"31",NA,"Aloi, Sonia","F","Disegni","IT","GN","Tunué",NA
"33",NA,"Altariva, Roberto","M","Sceneggiatura","IT","P","Astorina, Sergio Bonelli Editore",NA
"34",NA,"Amato, Emanuele","M","Sceneggiatura","IT","GN","Noise Press, Shockdom",NA
"35",NA,"Ambrosini, Carlo","M","Sceneggiatura, disegni","IT","P","Sergio Bonelli Editore","Scuola internazionale di Comics - Milano"
"36",NA,"Ambrosio, Raffaele","M","Sceneggiatura","FR","GN","Editions Mosquito, Mosquito",NA
"37",NA,"Ambrosoni, Alessandro","M","Disegni","IT","GN","BeccoGiallo",NA
"38",NA,"Ambu, Fabiano","M","Autore unico, disegni","IT","GN","BeccoGiallo, It Comics",NA
"39",NA,"Amendola, Maurizio","M","Disegni","IT","P","The Walt Disney Company",NA
"40",NA,"Amenta, Andrea","M","Disegni","IT","GN","Cut Up Publishing",NA
"41",NA,"Amerio, Luca","M","Sceneggiatura","IT","GN","BeccoGiallo",NA
"42",NA,"Anderle, Ernesto ""Roby il Pettirosso""","M","Autore unico","IT","GN","BeccoGiallo",NA
"43",NA,"Andolfo, Mirka","F","Autrice unica, disegni, colori","IT, USA","P, GN","BD, Marvel Comics, Panini Comics",NA
"44",NA,"Andreani, Nicola","M","Autore unico","IT","GN","Edizioni NPE",NA
"45",NA,"Andreozzi, Giuseppe","M","Sceneggiatura","IT","GN","Shockdom",NA
"46",NA,"Andreucci, Stefano","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"47",NA,"Angelini, Simone","M","Disegni, colori","IT","GN","Coconino Press, GRRRz Comic Art Books, Panini Comics",NA
"48",NA,"Anghini, Alessandro","M","Colori","IT","GN","Tatai Lab",NA
"49",NA,"Angiolini, Enrica","F","Colori","USA","P","AfterShock Comics, American Mythology, Aspen Comics, DC Comics, Image Comics, Titan Comics",NA
"50",NA,"Angri, Tiziano","M","Autore unico","IT","GN","BD, Coconino Press",NA
"51",NA,"Anichini, Bernardo","M","Disegni","IT","GN","Kleiner Flug",NA
"52",NA,"Antiga, Paolo","M","Disegni","IT, FR","P, GN","Bugs Comics, Edizioni INKiostro, Petit à Petit, Star Comics",NA
"53",NA,"Antinori, Federico","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"54",NA,"Antista, Paola","F","Disegni","IT, FR","GN","Éditions Clair de Lune, Éditions Glenat, ReNoir Comics, Vents d'Ouest",NA
"55",NA,"Antonazzo, Andrea","M","Sceneggiatura","IT","GN","BeccoGiallo",NA
"56",NA,"Antonellini, Sara","F","Disegni","IT","GN","BeccoGiallo",NA
"57",NA,"Antonioni, Eleonora","F","Autrice unica","IT","GN","Eris Edizioni, Sinnos","IED - Istituto Europeo di Disegni (Torino)"
"58",NA,"Antonucci, Stefano","M","Autore unico","IT","GN","Feltrinelli Editore, Shockdom",NA
"59",NA,"Apostolidis, Emanuele","M","Sceneggiatura","IT","GN","BeccoGiallo",NA
"60",NA,"Aprile, Andrea","M","Sceneggiatura","IT","GN","Tunué",NA
"61",NA,"Aquaro, Stefania","F","Colori","IT, FR","P, GN","Éditions Soleil, Sergio Bonelli Editore",NA
"62",NA,"Aragno, Rachele","F","Autrice unica","IT","GN","Bao Publishing",NA
"63",NA,"Archidiacono, Francesco","M","Disegni, chine","USA","P","Scout Comics, Time Bomb Comics",NA
"64",NA,"Arduini, Lucia","F","Disegni","IT","P","Sergio Bonelli Editore",NA
"65",NA,"Argnani, Giulia","F","Disegni","IT","GN","BD, Tunué",NA
"66",NA,"Armentaro, Flaviano","M","Disegni","IT, FR","P, GN","Dargaud, Sergio Bonelli Editore",NA
"67",NA,"Armitano, Paolo","M","Disegni","IT, FR","P, GN","Éditions Soleil, Sergio Bonelli Editore",NA
"68",NA,"Arrighini, Gaja Elisabetta","F","Sceneggiatura","IT","P","The Walt Disney Company",NA
"69",NA,"Artibani, Francesco","M","Sceneggiatura","IT","P, GN","Edizioni NPE, The Walt Disney Company, Tunué","SRF - Scuola Romana dei Fumetti"
"70",NA,"Artusi, Andrea","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"71",NA,"Arzani, Edoardo","M","Colori","IT","P","Sergio Bonelli Editore",NA
"72",NA,"Arzeno, Tommaso","M","Disegni","IT","GN","BeccoGiallo, ReNoir Comics",NA
"73",NA,"Asaro, Massimo","M","Disegni","IT","P","The Walt Disney Company",NA
"699","Elfo","Ascari, Giancarlo","M","Autore unico","IT","GN","Rizzoli Lizard",NA
"74",NA,"Ascari, Stefano","M","Sceneggiatura","IT","GN","Kleiner Flug",NA
"75",NA,"Ascione, Gianluca","M","Autore unico","IT","GN","Canicola Edizioni, Feltrinelli Editore",NA
"76",NA,"Ascione, Sarah","F","Lettering","IT","P","Panini Comics",NA
"77",NA,"Assirelli, Nicolò","M","Disegni","IT","P, GN","BD, Sergio Bonelli Editore",NA
"78",NA,"Astegiano, Barbara","F","Colori","IT","GN","Tunué",NA
"79",NA,"Asteriti, Sergio","M","Disegni","IT","P","The Walt Disney Company",NA
"81",NA,"Atzori, Mario","M","Disegni","IT","P","Sergio Bonelli Editore","CIF - Centro internazionale del fumetto (Cagliari)"
"82",NA,"Aureli, Francesca","F","Disegni","IT","P","Sergio Bonelli Editore","Scuola internazionale di Comics - Firenze"
"83",NA,"Aurilia, Davide","M","Disegni","IT","GN","Bao Publishing","Scuola del fumetto (Milano)"
"85",NA,"Avallone, Alessio","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"86",NA,"Avella, Claudio","M","Autore unico","IT","GN","Shockdom",NA
"565","David Bacter","Avogadro, Davide","M","Autore unico","IT","GN","BD",NA
"87",NA,"Avogadro, Massimiliano","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"88",NA,"Ba, Gabriele","M","Sceneggiatura","IT","GN","BeccoGiallo",NA
"89",NA,"Babich, Fabio","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"90",NA,"Baccaglini, Alessandra","F","Colori","IT","P","Sergio Bonelli Editore",NA
"91",NA,"Bacchetta, Alessandro","M","Autore unico","IT","GN","Kleiner Flug",NA
"92",NA,"Baccinelli, Emmanuele","M","Disegni","IT","P","The Walt Disney Company",NA
"93",NA,"Bachetti, Gian Marco","M","Sceneggiatura","IT","GN","Shockdom",NA
"94",NA,"Bacilieri, Paolo","M","Autore unico, disegni","IT, FR","P, GN","Canicola Edizioni, Casterman, Coconino Press, Sergio Bonelli Editore","Scuola internazionale di Comics - Milano/Reggio Emilia"
"95",NA,"Badino, Sergio","M","Sceneggiatura","IT","P, GN","The Walt Disney Company, Tunué","Scuola internazionale di Comics - Genova"
"96",NA,"Baggi, Alessandrto","M","Autore unico","FR","GN","Mosquito",NA
"97",NA,"Baggio, Marina","F","Chine","IT","P","The Walt Disney Company",NA
"98",NA,"Bagliani, Laura","F","Disegni","USA","P","Dynamite Entertainment",NA
"99",NA,"Bagnarelli, Bianca","F","Autrice unica","IT, UK","GN","Coconino Press, Nobrow Press",NA
"100",NA,"Bagnasco, Luca","M","Sceneggiatura","IT","GN","BeccoGiallo",NA
"101",NA,"Bagnoli, Gabriele","M","Disegni, colori","IT, FR","P, GN","Éditions Dupuis, Sergio Bonelli Editore",NA
"102",NA,"Baiguera, Giuseppe","M","Disegni, colori","IT, FR","P, GN","Éditions Glenat, Sergio Bonelli Editore",NA
"103",NA,"Baino, Luca","M","Sceneggiatura","IT","GN","BeccoGiallo, Shockdom",NA
"104",NA,"Balboni, Claudia","F","Disegni","IT, USA","P","Bugs Comics, IDW Publishing, Image Comics",NA
"105",NA,"Baldari, Nicoletta","F","Disegni","IT","P","The Walt Disney Company",NA
"693","Duckbill","Baldassarro, Vito Antonio","M","Autore unico","IT","GN","BeccoGiallo",NA
"106",NA,"Baldazzini, Roberto","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"107",NA,"Baldelli, Leonardo","M","Sceneggiatura","IT","GN","Shockdom",NA
"108",NA,"Baldi, Barbara","F","Autrice unica","IT","GN","Oblomov Edizioni","Scuola superiore d'arte applicata (Milano)"
"109",NA,"Baldisserotto, Alberto","M","Disegni","IT","GN","Shockdom","Dali Arts (Vicenza)"
"110",NA,"Baldolini, Fabio ""Punk""","M","Disegni","IT","GN","Edizioni INKiostro",NA
"111",NA,"Baldoni, Davide","M","Disegni","IT","P","The Walt Disney Company",NA
"112",NA,"Balestrucci Fancellu, Roberta","F","Sceneggiatura","IT","GN","BeccoGiallo",NA
"113",NA,"Ballati, Giovanni","M","Disegni","IT","GN","Shockdom",NA
"1322","NIM","Ballini, Nicole","F","Disegni","IT","GN","Shockdom",NA
"114",NA,"Balluchi, Alessandro","M","Disegni","IT","GN","Kleiner Flug",NA
"115",NA,"Balocco, Lorenzo","M","Sceneggiatura, disegni","IT","GN","Cronache di Topolinia",NA
"116",NA,"Balzano, Vincenzo","M","Autore unico","FR","GN","Ankama Éditions",NA
"117",NA,"Bambi Kramer","F","Autrice unica","IT","GN","Einaudi",NA
"118",NA,"Bandiera, Riccardo","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"119",NA,"Bandini, Michele","M","Disegni","IT, USA","P","Marvel Comics, Panini Comics",NA
"120",NA,"Bandoli, Claudio","M","Autore unico, disegni","IT","GN","Edizioni Zanetti",NA
"121",NA,"Baraldi, Barbara","F","Sceneggiatura","IT","P, GN","Edizioni NPE, Sergio Bonelli Editore",NA
"698","Edo 9000","Baraldi, Edoardo","M","Autore unico","IT","GN","001 Edizioni",NA
"122",NA,"Barattin, Andrea","M","Autore unico","IT","GN","Kleiner Flug",NA
"123",NA,"Barbaro, Graziano","M","Disegni","IT","P","The Walt Disney Company","Scuola superiore d'arte applicata (Milano)"
"124",NA,"Barbato, Paola","F","Sceneggiatura","IT","P, GN","Edizioni INKiostro, Sergio Bonelli Editore",NA
"125",NA,"Barbieri, Barbara","F","Sceneggiatura","IT, FR","GN","Casterman, Dentiblù, Éditions Glenat, Edizioni Dentiblù",NA
"126",NA,"Barbieri, Carlo","M","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics",NA
"127",NA,"Barbieri, Francesco","M","Disegni","IT","P","The Walt Disney Company",NA
"128",NA,"Barbieri, Gianni","M","Sceneggiatura","IT","P","Editoriale Cosmo, Sergio Bonelli Editore, Star Comics","The Sign - Comics & Arts Academy (Firenze)"
"129",NA,"Barbieri, Luca","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"130",NA,"Barbucci, Alessandro","M","Autore unico, disegni","IT","P","Bao Publishing, The Walt Disney Company",NA
"131",NA,"Barducci, Armin","M","Autore unico","IT","GN","Eris Edizioni, Tunué",NA
"132",NA,"Barengo, Monica","F","Disegni","IT","GN","BeccoGiallo",NA
"133",NA,"Baricordi, Andrea","M","Sceneggiatura","IT","GN","KappaLab",NA
"134",NA,"Barilli, Francesco","M","Sceneggiatura","IT","GN","BeccoGiallo",NA
"135",NA,"Barison, Emanuele","M","Disegni","IT","P","Astorina, Sergio Bonelli Editore, The Walt Disney Company",NA
"136",NA,"Barletta, Elisabetta","F","Disegni","IT","P","Sergio Bonelli Editore",NA
"137",NA,"Barletta, Emiliano","M","Sceneggiatura","IT","GN","Edizioni NPE",NA
"138",NA,"Baronciani, Alessandro","M","Autore unico","IT","GN","Bao Publishing",NA
"139",NA,"Barone, Adriano","M","Sceneggiatura","IT","P, GN","BeccoGiallo, Sergio Bonelli Editore, Tunué",NA
"140",NA,"Barone, Benedetta","F","Sceneggiatura, disegni","IT","P","The Walt Disney Company",NA
"141",NA,"Barone, Gianluca","M","Disegni","IT","P","The Walt Disney Company",NA
"142",NA,"Baroni, Marta","F","Autrice unica","IT","GN","Bao Publishing",NA
"143",NA,"Barozzi, Danilo","M","Sceneggiatura, disegni","IT","P","The Walt Disney Company","Scuola del fumetto (Milano)"
"144",NA,"Barretta, Marco","M","Sceneggiatura","IT","GN","Tunué",NA
"146",NA,"Bartolini, Egle","M","Disegni","USA","P","Titan Comics","Scuola Chiavarese del Fumetto"
"147",NA,"Bartolini, Fabio","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"148",NA,"Barzi, Davide","M","Sceneggiatura","IT","GN","BeccoGiallo, It Comics","Scuola del fumetto (Milano)"
"149",NA,"Basile, Massimo","M","Sceneggiatura","IT","GN","Round Robin",NA
"150",NA,"Bastianoni, Dante","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"151",NA,"Batelli, Martina","F","Autrice unica, disegni","IT","GN","Tatai Lab",NA
"152",NA,"Batista, Natalia","F","Autrice unica","IT","GN","Shockdom",NA
"153",NA,"Battestini, Roberto","M","Autore unico","IT","GN","001 Edizioni",NA
"154",NA,"Battisti, Giorgio","M","Disegni","IT","GN","Shockdom",NA
"155",NA,"Battistutta, Aretha","F","Colori","FR","GN","Bamboo Éditions, DBDO, Éditions Glenat",NA
"564","David B.","Beauchard, Pierre-François","M","Autore unico","IT, FR","GN","Bao Publishing, Coconino Press, Cornélius, Éditions le Lombard, Futuropolis, L'Association, Rizzoli Lizard",NA
"156",NA,"Becciu, Antonello","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"157",NA,"Belandi, Nicolò","M","Disegni","IT","GN","BeccoGiallo",NA
"158",NA,"Belardo, Vanessa","F","Disegni","IT","P","Sergio Bonelli Editore",NA
"159",NA,"Belgrado, Eugenio","M","Autore unico, disegni","IT","GN","Lavieri Edizioni",NA
"701","Elisa2B","Beli Borelli, Elisa","F","Autrice unica","IT","GN","BeccoGiallo",NA
"897","Gíez","Bellagamba, Carlo","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"160",NA,"Belletti, Alessandra","F","Lettering","IT","P","Sergio Bonelli Editore",NA
"161",NA,"Belli, Marco","M","Sceneggiatura","IT","P, GN","ReNoir Comics, Sergio Bonelli Editore",NA
"162",NA,"Bellomi, Federica","F","Autrice unica","IT","GN","Diabolo Edizioni",NA
"163",NA,"Beltramini, Micol","F","Sceneggiatura","IT","GN","BD",NA
"164",NA,"Beltramo, Silvano","M","Disegni, chine, colori","USA","P","AC Comics, Advent Comics, Red Crow Comics, T-Pub Comics","Scuola internazionale di Comics - Genova/Torino"
"165",NA,"Ben Mohamed, Takoua","F","Autrice unica","IT","GN","BeccoGiallo",NA
"166",NA,"Benassi, Alessandro","M","Lettering","IT","GN","BD",NA
"167",NA,"Bendazzoli, Erika","F","Colori","IT","P","Sergio Bonelli Editore",NA
"168",NA,"Bendotti, Giacomo","M","Autore unico","IT","GN","BeccoGiallo",NA
"169",NA,"Benefico, Gabriele","M","Disegni","IT","GN","BD, Edizioni NPE, Lavieri Edizioni",NA
"170",NA,"Benevento, Michele","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"171",NA,"Benfatto, Elisabetta","F","Disegni","IT","GN","BeccoGiallo",NA
"172",NA,"Bennato, Tommaso","M","Disegni","FR","GN","Éditions Clair de Lune, Éditions Delcourt",NA
"173",NA,"Benni","M","Disegni","IT","GN","BeccoGiallo",NA
"566","Daw","Berardi, Davide","M","Autore unico, sceneggiatura","IT","P","Panini Comics, Sergio Bonelli Editore",NA
"174",NA,"Berardi, Giancarlo","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"175",NA,"Berdondini, Lorenzo","M","Colori","IT","GN","Shockdom",NA
"176",NA,"Bergamo, Massimiliano","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"177",NA,"Berghella, Leonardo","M","Disegni","IT","GN","Mangasenpai",NA
"178",NA,"Bermejo, Lee","M","Disegni","IT, USA","P","Marvel Comics, Panini Comics",NA
"179",NA,"Bertelè, Luca","M","Disegni, colori","IT","P, GN","Sergio Bonelli Editore, Tunué","Scuola internazionale di Comics - Milano"
"180",NA,"Berti, Alice","F","Autrice unica","IT","GN","Bao Publishing, Edizioni Zanetti",NA
"181",NA,"Bertilorenzi, Michele","M","Disegni","IT, USA","P","DC Comics, Marvel Comics, Sergio Bonelli Editore","The Sign - Comics & Arts Academy (Firenze)"
"182",NA,"Bertolini, Massimiliano ""Max""","M","Disegni","IT","P, GN","Edizioni INKiostro, Sergio Bonelli Editore",NA
"1425","Percy","Bertolini, Vale","F","Disegni","IT","GN","Feltrinelli Editore",NA
"183",NA,"Bertolotti, Marta","F","Disegni","IT","GN","Mangasenpai",NA
"184",NA,"Bertolucci, Federico","M","Disegni","IT, FR","P, GN","Ankama Éditions, Éditions Delcourt, Éditions Dupuis, Éditions Glenat, Éditions Soleil, ReNoir Comics, The Walt Disney Company","SRF - Scuola Romana dei Fumetti"
"185",NA,"Bertotti, Ugo","M","Autore unico","IT","GN","Coconino Press",NA
"186",NA,"Bertozzi, Enrico","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"187",NA,"Bessoni, Stefano","M","Autore unico","IT","GN","Logos Edizioni",NA
"188",NA,"Bevacqua, Salvatore","M","Disegni","FR","GN","Petit à Petit",NA
"189",NA,"Bevilacqua, Giacomo","M","Autore unico, disegni","IT","P, GN","Bao Publishing, Sergio Bonelli Editore",NA
"190",NA,"Biagi, Lucia","F","Autrice unica","IT","GN","Diabolo Edizioni, Eris Edizioni",NA
"191",NA,"Biagini, Francesco","M","Disegni","FR, USA","P, GN","BOOM! Studios, Éditions Soleil",NA
"192",NA,"Bianchi, Lorenzo","M","Sceneggiatura","IT","GN","Edizioni NPE, Kleiner Flug",NA
"193",NA,"Bianchi, Simone","M","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics",NA
"194",NA,"Bianchi, Tommaso","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"195",NA,"Bianchini, Marco","M","Disegni","FR","GN","Éditions Glenat, Éditions Soleil",NA
"196",NA,"Bianconi, Valentina","F","Colori","IT","P","Sergio Bonelli Editore",NA
"197",NA,"Biasio, Iris","F","Autrice unica","IT","GN","MalEdizioni",NA
"212","BlackBanshee","Biazzi, Marga","F","Autrice unica","IT","GN","Shockdom",NA
"198",NA,"Bietolini, Eleonora","F","Disegni","FR","GN","Éditions Soleil",NA
"199",NA,"Bifulco, Antonio","M","Disegni","USA","P","Zenescope",NA
"201",NA,"Biglia, Stefano","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"202",NA,"Bigliardo, Daniele","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"203",NA,"Bignamini, Alessandro","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"204",NA,"Bilisari, Giulio","M","Disegni","IT","GN","Kleiner Flug",NA
"205",NA,"Bilotta, Alessandro","M","Sceneggiatura","IT","P, GN","Feltrinelli Editore, Sergio Bonelli Editore, Star Comics","Scuola internazionale di Comics - Roma"
"206",NA,"Binni, Simona","F","Autrice unica","IT","GN","Tunué",NA
"207",NA,"Biondi, Flavia","F","Autrice unica, disegni","IT, USA","P, GN","Bao Publishing, Dark Horse Comics",NA
"208",NA,"Bisaro, Francesco","M","Disegni","IT, FR","GN","Petit à Petit, ReNoir Comics",NA
"209",NA,"Bisi, Paolo","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"210",NA,"Bissattini, Emanuele","M","Sceneggiatura","IT","GN","Round Robin",NA
"211",NA,"Bizzarri, Vincenzo","M","Disegni","IT, FR","GN","Éditions Glenat, Hazard Edizioni, Kleiner Flug","Scuola internazionale di Comics - Firenze"
"213",NA,"Blengino, Luca","M","Sceneggiatura, colorista","IT, FR","P, GN","Éditions Delcourt, Éditions Soleil, Edizioni INKiostro, Star Comics",NA
"214",NA,"Boccanfuso, Emanuele","M","Disegni","IT","P","Sergio Bonelli Editore","Scuola Mohole (Milano)"
"215",NA,"Boccato, Claudia","F","Colori","IT","P","Sergio Bonelli Editore",NA
"216",NA,"Bocci, Alessandro","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"217",NA,"Bogani, Giulio","M","Sceneggiatura","IT","GN","Kleiner Flug",NA
"218",NA,"Bogani, Riccardo","M","Disegni","USA","P","Zenescope",NA
"219",NA,"Bolla, Marco","M","Sceneggiatura, disegni","IT","P","The Walt Disney Company","Scuola internazionale di Comics - Brescia"
"220",NA,"Bolzoni, Lorenzo","M","Lettering","IT","GN","Bao Publishing",NA
"221",NA,"Bonaccorso, Emiliano","M","Disegni","FR","GN","Eris Edizioni",NA
"222",NA,"Bonaccorso, Lelio","M","Disegni","IT","GN","BD, Feltrinelli Editore, Rizzoli Lizard, Tunué",NA
"223",NA,"Bonacorsi, Gianenrico","M","Disegni","FR","GN","Éditions Glenat",NA
"224",NA,"Bonaffino, Dario","M","Disegni","IT","GN","BeccoGiallo",NA
"225",NA,"Bonaiuti, Daniele","M","Disegni","IT","GN","BeccoGiallo",NA
"226",NA,"Bonanno, Francesco","M","Disegni","IT","P, GN","ReNoir Comics, Sergio Bonelli Editore",NA
"227",NA,"Bonardi, Luca","M","Disegni","IT","P","The Walt Disney Company",NA
"228",NA,"Bonazzi, Germano","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"229",NA,"Bonazzi, Stefano","M","Sceneggiatura","IT","GN","BeccoGiallo, Cronache di Topolinia",NA
"230",NA,"Bonessi, Luca","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"231",NA,"Bonesso, Diego","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"232",NA,"Bonetti, Elia","M","Disegni","IT, FR, USA","P","Astorina, DC Comics, Éditions Glenat, Éditions Soleil, Marvel Comics, Star Comics","Scuola internazionale di Comics - Reggio Emilia"
"233",NA,"Bonetti, Fabio","M","Autore unico","IT","GN","MalEdizioni",NA
"234",NA,"Bonfanti, Davide","M","Disegni","IT","GN","BeccoGiallo","Scuola del fumetto (Milano)"
"235",NA,"Bonfanti, Stefano","M","Disegni","IT, FR","GN","Casterman, Dentiblù, Éditions Glenat, Edizioni Dentiblù",NA
"236",NA,"Bonfatti, Massimo","M","Autore unico, disegni","IT","P, GN","SaldaPress, Sergio Bonelli Editore, The Walt Disney Company",NA
"237",NA,"Bono, Fabio","M","Disegni","FR","GN","Éditions Glenat",NA
"948","Gud","Bonomo, Daniele","M","Autore unico","IT","GN","Coconino Press, Tunué","The Sign - Comics & Arts Academy (Firenze)"
"238",NA,"Bonora, Tatiana","F","Lettering","IT","P","Marvel Comics, Panini Comics",NA
"239",NA,"Boraley, Steve","M","Disegni","IT","P","Sergio Bonelli Editore","Scuola italiana di Comix (Napoli)"
"240",NA,"Bordiglioni, Stefano","M","Sceneggiatura","FR","GN","Éditions Clair de Lune",NA
"241",NA,"Borgioli, Andrea","M","Disegni","IT","P","Sergio Bonelli Editore","Scuola internazionale di Comics - Reggio Emilia, Corso di fumetto - Arena del Fumetto (Bologna)"
"242",NA,"Borio, Cristina","F","Colori","IT","P","Sergio Bonelli Editore",NA
"243",NA,"Borlini, Barbara","F","Autrice unica","IT","GN","Tunué",NA
"244",NA,"Bormida, Andrea","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"245",NA,"Borsoni, Riccardo","M","Sceneggiatura","IT, FR","P, GN","Kawama, Star Comics","Scuola internazionale di Comics - Brescia"
"246",NA,"Boscarol, Maurizio","M","Autore unico","IT","GN","Feltrinelli Editore",NA
"247",NA,"Boschetti, Alex","M","Sceneggiatura","IT","GN","BeccoGiallo",NA
"248",NA,"Bosco, Marco","M","Sceneggiatura","IT","P","The Walt Disney Company",NA
"249",NA,"Boscoli, Duccio","M","Autore unico","IT","GN","BeccoGiallo",NA
"250",NA,"Boscolo, Andrea","M","Disegni","IT","GN","Shockdom",NA
"251",NA,"Boselli, Mauro","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"252",NA,"Boselli, Silvio","M","Disegni","IT","GN","BeccoGiallo",NA
"253",NA,"Bosi, Nicholas","M","Sceneggiatura","IT","P","Alias - il Manifesto",NA
"254",NA,"Bouah, Christian B.","M","Sceneggiatura","IT","GN","Tunué",NA
"255",NA,"Bouchami, Sabrina","F","Autrice unica","IT","GN","Mangasenpai",NA
"256",NA,"Bovo, Lorenzo","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"257",NA,"Bozzi, Cristina","F","Lettering","IT","P","Sergio Bonelli Editore",NA
"258",NA,"Bozzo, Andrea","M","Autore unico","IT","P","La Stampa/Tuttolibri",NA
"259",NA,"Bracanti, Valentina","F","Disegni","FR","GN","Kramiek",NA
"260",NA,"Bracchi, Manuel","M","Disegni","IT, USA","P","BOOM! Studios, IDW Publishing, Sergio Bonelli Editore",NA
